Block,Plant,Strain,weight
D,Am,1160,0.61
E,Am,1160,1.19
V,Am,1160,0.3
W,Am,1160,1.95
X,Am,1160,2.15
Y,Am,1160,1.44
Z,Am,1160,0.84
A,Am,1164,NA
B,Am,1164,1.02
C,Am,1164,1.61
D,Am,1164,1.28
E,Am,1164,0.91
V,Am,1164,1.19
W,Am,1164,1.38
X,Am,1164,1.58
Y,Am,1164,1.55
Z,Am,1164,1.62
A,Am,1169,3.04
B,Am,1169,1.77
C,Am,1169,1.75
D,Am,1169,2.29
E,Am,1169,0.84
V,Am,1169,1.43
W,Am,1169,2.02
X,Am,1169,0.27
Y,Am,1169,2.75
Z,Am,1169,2.14
A,Am,1174,2.1
B,Am,1174,0.31
C,Am,1174,3.74
D,Am,1174,2.52
E,Am,1174,2.26
V,Am,1174,2.68
W,Am,1174,2.51
X,Am,1174,2.63
Y,Am,1174,NA
Z,Am,1174,1.02
A,Am,1175,1.16
B,Am,1175,1.32
C,Am,1175,2.27
D,Am,1175,1.16
E,Am,1175,1.53
V,Am,1175,1.3
W,Am,1175,1.16
X,Am,1175,1.7
Y,Am,1175,2.12
Z,Am,1175,1.63
A,Am,1178,NA
B,Am,1178,0.14
C,Am,1178,0.11
D,Am,1178,0.24
E,Am,1178,NA
V,Am,1178,0.45
W,Am,1178,0.41
X,Am,1178,NA
Y,Am,1178,0.36
Z,Am,1178,NA
A,Am,1194,2.25
B,Am,1194,2.77
C,Am,1194,0.24
D,Am,1194,2.12
E,Am,1194,2.13
V,Am,1194,1.46
W,Am,1194,2.68
X,Am,1194,2.31
Y,Am,1194,1.43
Z,Am,1194,3.83
A,Dm,1075,0.12
B,Dm,1075,NA
C,Dm,1075,NA
D,Dm,1075,0.93
E,Dm,1075,0.78
V,Dm,1075,2.35
W,Dm,1075,0.89
X,Dm,1075,1.73
Y,Dm,1075,0.77
Z,Dm,1075,0.22
A,Dm,1088,NA
B,Dm,1088,NA
C,Dm,1088,0.29
D,Dm,1088,NA
E,Dm,1088,NA
V,Dm,1088,NA
W,Dm,1088,NA
X,Dm,1088,NA
Y,Dm,1088,NA
Z,Dm,1088,NA
A,Dm,1092,NA
B,Dm,1092,NA
C,Dm,1092,0.14
D,Dm,1092,NA
E,Dm,1092,NA
V,Dm,1092,0.11
W,Dm,1092,NA
X,Dm,1092,NA
Y,Dm,1092,NA
Z,Dm,1092,0.04
A,Dm,1093,0.43
B,Dm,1093,0.34
C,Dm,1093,0.98
D,Dm,1093,0.08
E,Dm,1093,NA
V,Dm,1093,0.63
W,Dm,1093,0.08
X,Dm,1093,1.24
Y,Dm,1093,NA
Z,Dm,1093,0.21
A,Dm,1097,NA
B,Dm,1097,NA
C,Dm,1097,NA
D,Dm,1097,NA
E,Dm,1097,NA
V,Dm,1097,NA
W,Dm,1097,0.06
X,Dm,1097,NA
Y,Dm,1097,NA
Z,Dm,1097,0.36
A,Dm,1104,0.41
B,Dm,1104,0.51
C,Dm,1104,0.23
D,Dm,1104,NA
E,Dm,1104,0.23
V,Dm,1104,NA
W,Dm,1104,0.23
X,Dm,1104,0.14
Y,Dm,1104,0.19
Z,Dm,1104,0.17
A,Dm,1129,1.22
B,Dm,1129,0.21
C,Dm,1129,1.28
D,Dm,1129,0.47
E,Dm,1129,0.39
V,Dm,1129,0.85
W,Dm,1129,0.4
X,Dm,1129,0.75
Y,Dm,1129,0.64
Z,Dm,1129,0.43
A,Dm,1144,0.25
B,Dm,1144,0.51
C,Dm,1144,0.34
D,Dm,1144,1.1
E,Dm,1144,0.76
V,Dm,1144,0.9
W,Dm,1144,0.9
X,Dm,1144,1.24
Y,Dm,1144,1.73
Z,Dm,1144,0.6
A,Dm,1147,NA
B,Dm,1147,NA
C,Dm,1147,0.1
D,Dm,1147,0.28
E,Dm,1147,0.51
V,Dm,1147,NA
W,Dm,1147,0.06
X,Dm,1147,NA
Y,Dm,1147,0.4
Z,Dm,1147,NA
A,Dm,1152,0.85
B,Dm,1152,0.94
C,Dm,1152,0.89
D,Dm,1152,1.79
E,Dm,1152,0.7
V,Dm,1152,0.87
W,Dm,1152,1.01
X,Dm,1152,0.65
Y,Dm,1152,0.09
Z,Dm,1152,0.74
A,Dm,1153,0.63
B,Dm,1153,0.54
C,Dm,1153,NA
D,Dm,1153,0.68
E,Dm,1153,0.65
V,Dm,1153,NA
W,Dm,1153,1.03
X,Dm,1153,1.18
Y,Dm,1153,0.31
Z,Dm,1153,0.39
A,Dm,1155,0.34
B,Dm,1155,0.3
C,Dm,1155,2.11
D,Dm,1155,0.95
E,Dm,1155,0.53
V,Dm,1155,0.57
W,Dm,1155,0.62
X,Dm,1155,NA
Y,Dm,1155,NA
Z,Dm,1155,NA
A,Dm,1158,0.11
B,Dm,1158,0.05
C,Dm,1158,NA
D,Dm,1158,NA
E,Dm,1158,0.08
V,Dm,1158,NA
W,Dm,1158,NA
X,Dm,1158,NA
Y,Dm,1158,NA
Z,Dm,1158,NA
A,Dm,1160,0.02
B,Dm,1160,0.31
C,Dm,1160,NA
D,Dm,1160,0.19
E,Dm,1160,0.42
V,Dm,1160,0.23
W,Dm,1160,0.19
X,Dm,1160,0.52
Y,Dm,1160,NA
Z,Dm,1160,NA
A,Dm,1164,0.13
B,Dm,1164,0.62
C,Dm,1164,NA
D,Dm,1164,0.97
E,Dm,1164,0.58
V,Dm,1164,0.2
W,Dm,1164,0.44
X,Dm,1164,1.16
Y,Dm,1164,0.42
Z,Dm,1164,NA
A,Dm,1169,0.6
B,Dm,1169,0.66
C,Dm,1169,2
D,Dm,1169,1.58
E,Dm,1169,NA
V,Dm,1169,0.25
W,Dm,1169,2.07
X,Dm,1169,NA
Y,Dm,1169,NA
Z,Dm,1169,0.91
A,Dm,1174,0.6
B,Dm,1174,NA
C,Dm,1174,1.16
D,Dm,1174,0.16
E,Dm,1174,0.59
V,Dm,1174,1.09
W,Dm,1174,NA
X,Dm,1174,0.36
Y,Dm,1174,0.47
Z,Dm,1174,0.15
A,Dm,1175,0.26
B,Dm,1175,NA
C,Dm,1175,1.01
D,Dm,1175,0.8
E,Dm,1175,0.67
V,Dm,1175,0.18
W,Dm,1175,0.22
X,Dm,1175,0.97
Y,Dm,1175,NA
Z,Dm,1175,0.17
A,Dm,1178,0.16
B,Dm,1178,NA
C,Dm,1178,NA
D,Dm,1178,NA
E,Dm,1178,NA
V,Dm,1178,0.11
W,Dm,1178,NA
X,Dm,1178,NA
Y,Dm,1178,NA
Z,Dm,1178,NA
A,Dm,1194,0.26
B,Dm,1194,NA
C,Dm,1194,1.54
D,Dm,1194,0.76
E,Dm,1194,0.67
V,Dm,1194,1.27
W,Dm,1194,NA
X,Dm,1194,0.83
Y,Dm,1194,0.87
Z,Dm,1194,0.41
A,Gc,1075,0.88
B,Gc,1075,NA
C,Gc,1075,0.89
D,Gc,1075,0.66
E,Gc,1075,0.77
